"";"geo";"unit";"time";"PKB";"GEO";"Region";"Kraj";"dl"
"1";"AL011";"MIO_EUR";2013;304;"AL011 - Dibër";"Dibër";"AL";5
"2";"AL011";"MIO_EUR";2014;314;"AL011 - Dibër";"Dibër";"AL";5
"3";"AL011";"MIO_EUR";2008;258;"AL011 - Dibër";"Dibër";"AL";5
"4";"AL011";"MIO_EUR";2009;259;"AL011 - Dibër";"Dibër";"AL";5
"5";"AL011";"MIO_EUR";2011;265;"AL011 - Dibër";"Dibër";"AL";5
"6";"AL011";"MIO_EUR";2012;305;"AL011 - Dibër";"Dibër";"AL";5
"7";"AL011";"MIO_EUR";2010;281;"AL011 - Dibër";"Dibër";"AL";5
"8";"AL012";"MIO_EUR";2013;922;"AL012 - Durrës";"Durrës";"AL";5
"9";"AL012";"MIO_EUR";2014;940;"AL012 - Durrës";"Durrës";"AL";5
"10";"AL012";"MIO_EUR";2011;887;"AL012 - Durrës";"Durrës";"AL";5
"11";"AL012";"MIO_EUR";2009;831;"AL012 - Durrës";"Durrës";"AL";5
"12";"AL012";"MIO_EUR";2010;916;"AL012 - Durrës";"Durrës";"AL";5
"13";"AL012";"MIO_EUR";2008;838;"AL012 - Durrës";"Durrës";"AL";5
"14";"AL012";"MIO_EUR";2012;914;"AL012 - Durrës";"Durrës";"AL";5
"15";"AL013";"MIO_EUR";2012;210;"AL013 - Kukës";"Kukës";"AL";5
"16";"AL013";"MIO_EUR";2013;220;"AL013 - Kukës";"Kukës";"AL";5
"17";"AL013";"MIO_EUR";2010;200;"AL013 - Kukës";"Kukës";"AL";5
"18";"AL013";"MIO_EUR";2008;190;"AL013 - Kukës";"Kukës";"AL";5
"19";"AL013";"MIO_EUR";2011;214;"AL013 - Kukës";"Kukës";"AL";5
"20";"AL013";"MIO_EUR";2014;211;"AL013 - Kukës";"Kukës";"AL";5
"21";"AL013";"MIO_EUR";2009;190;"AL013 - Kukës";"Kukës";"AL";5
"22";"AL014";"MIO_EUR";2008;298;"AL014 - Lezhë";"Lezhë";"AL";5
"23";"AL014";"MIO_EUR";2010;289;"AL014 - Lezhë";"Lezhë";"AL";5
"24";"AL014";"MIO_EUR";2012;313;"AL014 - Lezhë";"Lezhë";"AL";5
"25";"AL014";"MIO_EUR";2009;294;"AL014 - Lezhë";"Lezhë";"AL";5
"26";"AL014";"MIO_EUR";2014;320;"AL014 - Lezhë";"Lezhë";"AL";5
"27";"AL014";"MIO_EUR";2011;288;"AL014 - Lezhë";"Lezhë";"AL";5
"28";"AL014";"MIO_EUR";2013;297;"AL014 - Lezhë";"Lezhë";"AL";5
"29";"AL015";"MIO_EUR";2012;555;"AL015 - Shkodër";"Shkodër";"AL";5
"30";"AL015";"MIO_EUR";2009;497;"AL015 - Shkodër";"Shkodër";"AL";5
"31";"AL015";"MIO_EUR";2013;534;"AL015 - Shkodër";"Shkodër";"AL";5
"32";"AL015";"MIO_EUR";2011;561;"AL015 - Shkodër";"Shkodër";"AL";5
"33";"AL015";"MIO_EUR";2014;527;"AL015 - Shkodër";"Shkodër";"AL";5
"34";"AL015";"MIO_EUR";2010;538;"AL015 - Shkodër";"Shkodër";"AL";5
"35";"AL015";"MIO_EUR";2008;495;"AL015 - Shkodër";"Shkodër";"AL";5
"36";"AL021";"MIO_EUR";2008;645;"AL021 - Elbasan";"Elbasan";"AL";5
"37";"AL021";"MIO_EUR";2010;724;"AL021 - Elbasan";"Elbasan";"AL";5
"38";"AL021";"MIO_EUR";2014;741;"AL021 - Elbasan";"Elbasan";"AL";5
"39";"AL021";"MIO_EUR";2013;724;"AL021 - Elbasan";"Elbasan";"AL";5
"40";"AL021";"MIO_EUR";2012;689;"AL021 - Elbasan";"Elbasan";"AL";5
"41";"AL021";"MIO_EUR";2009;641;"AL021 - Elbasan";"Elbasan";"AL";5
"42";"AL021";"MIO_EUR";2011;694;"AL021 - Elbasan";"Elbasan";"AL";5
"43";"AL022";"MIO_EUR";2013;3595;"AL022 - Tiranë";"Tiranë";"AL";5
"44";"AL022";"MIO_EUR";2008;3562;"AL022 - Tiranë";"Tiranë";"AL";5
"45";"AL022";"MIO_EUR";2011;3501;"AL022 - Tiranë";"Tiranë";"AL";5
"46";"AL022";"MIO_EUR";2012;3605;"AL022 - Tiranë";"Tiranë";"AL";5
"47";"AL022";"MIO_EUR";2009;3512;"AL022 - Tiranë";"Tiranë";"AL";5
"48";"AL022";"MIO_EUR";2010;3487;"AL022 - Tiranë";"Tiranë";"AL";5
"49";"AL022";"MIO_EUR";2014;3776;"AL022 - Tiranë";"Tiranë";"AL";5
"50";"AL031";"MIO_EUR";2011;374;"AL031 - Berat";"Berat";"AL";5
"51";"AL031";"MIO_EUR";2013;358;"AL031 - Berat";"Berat";"AL";5
"52";"AL031";"MIO_EUR";2014;371;"AL031 - Berat";"Berat";"AL";5
"53";"AL031";"MIO_EUR";2008;348;"AL031 - Berat";"Berat";"AL";5
"54";"AL031";"MIO_EUR";2010;368;"AL031 - Berat";"Berat";"AL";5
"55";"AL031";"MIO_EUR";2009;342;"AL031 - Berat";"Berat";"AL";5
"56";"AL031";"MIO_EUR";2012;353;"AL031 - Berat";"Berat";"AL";5
"57";"AL032";"MIO_EUR";2010;950;"AL032 - Fier";"Fier";"AL";5
"58";"AL032";"MIO_EUR";2012;1229;"AL032 - Fier";"Fier";"AL";5
"59";"AL032";"MIO_EUR";2008;902;"AL032 - Fier";"Fier";"AL";5
"60";"AL032";"MIO_EUR";2014;1339;"AL032 - Fier";"Fier";"AL";5
"61";"AL032";"MIO_EUR";2013;1280;"AL032 - Fier";"Fier";"AL";5
"62";"AL032";"MIO_EUR";2011;1085;"AL032 - Fier";"Fier";"AL";5
"63";"AL032";"MIO_EUR";2009;847;"AL032 - Fier";"Fier";"AL";5
"64";"AL033";"MIO_EUR";2008;197;"AL033 - Gjirokastër";"Gjirokastër";"AL";5
"65";"AL033";"MIO_EUR";2013;251;"AL033 - Gjirokastër";"Gjirokastër";"AL";5
"66";"AL033";"MIO_EUR";2010;202;"AL033 - Gjirokastër";"Gjirokastër";"AL";5
"67";"AL033";"MIO_EUR";2011;239;"AL033 - Gjirokastër";"Gjirokastër";"AL";5
