"";"Kraj";"time";"Regiony";"Wynik"
"1";"AL";2013;"Fier, Durrës, Elbasan, Vlorë, Korcë";4,16312056737589
"2";"AT";2013;"Linz-Wels, Graz, Salzburg und Umgebung, Wiener Umland/Südteil, Innsbruck";4,56381917899285
"3";"BE";2013;"Arr. Antwerpen, Arr. Halle-Vilvoorde, Arr. Gent";2,09791713325868
"4";"BG";2013;"Plovdiv, Varna, Stara Zagora, Burgas, Sofia, Blagoevgrad, Ruse, Veliko Tarnovo, Pazardzhik, Pleven";9,665544332211
"5";"CZ";2013;"Jihomoravský kraj, Stredoceský kraj, Moravskoslezský kraj";2,26695441763129
"6";"DE";2013;"Hamburg, München, Kreisfreie Stadt";1,10949179437925
"7";"DK";2013;"K?benhavns omegn, ?stjylland";1,27922539381736
"8";"EE";2013;"L?una-Eesti, Kirde-Eesti, Lääne-Eesti, Kesk-Eesti";4
"9";"EL";2013;"Voreios Tomeas Athinon, Thessaloniki, Anatoliki Attiki";2,0418591757531
"10";"ES";2013;"Barcelona, Valencia / Val?ncia";1,99428526999184
"11";"FI";2013;"Pirkanmaa, Varsinais-Suomi, Pohjois-Pohjanmaa, Keski-Suomi, Satakunta, Pohjois-Savo, Pohjanmaa, Päijät-Häme";7,18385134024009
"12";"FR";2013;"Hauts-de-Seine, Rhône";1,6980913746093
"13";"HR";2013;"Primorsko-goranska zupanija, Splitsko-dalmatinska zupanija, Istarska zupanija, Zagrebacka zupanija, Osjecko-baranjska zupanija";4,78656288406391
"14";"HU";2013;"Pest, Gyor-Moson-Sopron, Borsod-Abaúj-Zemplén, Fejér, Hajdú-Bihar, Bács-Kiskun, Komárom-Esztergom, Szabolcs-Szatmár-Bereg";7,96795079313694
"15";"IE";2013;"South-West (IE), Mid-East, South-East (IE), West, Mid-West";4,52538649308381
"16";"IT";2013;"Roma, Torino";1,07930237321862
"17";"LT";2013;"Kauno apskritis, Klaipedos apskritis, Siauliu apskritis, Panevezio apskritis";3,08463356973995
"18";"LV";2013;"Pieriga, Kurzeme, Latgale, Zemgale, Vidzeme";5
"19";"MK";2013;"Pelagoniski, Jugoistocen, Vardarski, Istocen, Jugozapaden";4,7433489827856
"20";"MT";2013;"Gozo and Comino / Ghawdex u Kemmuna, Extra-Regio NUTS 3";2
"21";"NL";2013;"Groot-Rijnmond, Utrecht";1,53121012428114
"22";"NO";2013;"Oslo, Hordaland";1,64187565469222
"23";"PL";2013;"Miasto Kraków, Miasto Poznan, Region Trojmiejski, Region Katowicki, Miasto Wroclaw";4,62379946215905
"24";"PT";2013;"Área Metropolitana do Porto, Algarve, Regi?o de Coimbra, Regi?o de Aveiro, Ave, Cávado, Oeste, Regi?o de Leiria";7,3049766056997
"25";"RO";2013;"Constanta, Timis, Cluj, Prahova, Brasov, Iasi";5,91307277628032
"26";"SE";2013;"Västra Götalands län, Sk?ne län, Östergötlands län";2,83878891745216
"27";"SI";2013;"Podravska, Savinjska, Gorenjska, Jugovzhodna Slovenija";3,62039779940753
"28";"SK";2013;"Kosický kraj, Trnavský kraj, Nitriansky kraj";2,47396464034875
"29";"UK";2013;"Westminster, Berkshire";1,53003581939723
"30";"AL";2014;"Fier, Durrës, Elbasan, Vlorë, Korcë";4,28546409807355
"31";"AT";2014;"Linz-Wels, Graz, Salzburg und Umgebung, Wiener Umland/Südteil, Innsbruck";4,51526686644529
"32";"BE";2014;"Arr. Antwerpen, Arr. Halle-Vilvoorde, Arr. Gent";2,06675358539765
"33";"BG";2014;"Plovdiv, Varna, Stara Zagora, Burgas, Sofia, Blagoevgrad, Ruse, Veliko Tarnovo, Pazardzhik, Pleven";9,66854565952649
"34";"CZ";2014;"Stredoceský kraj, Jihomoravský kraj, Moravskoslezský kraj";2,18332677423587
"35";"DE";2014;"Hamburg, München, Kreisfreie Stadt";1,12577962577963
"36";"DK";2014;"K?benhavns omegn, ?stjylland";1,30095227035188
